IDP_WAREHOUSE_ID,IDP_AUDIT_ID,IDP_EFFECTIVE_DATE,IDP_END_DATE,IDP_DELETE_DATE,PERSON_NAME_ID,PREFIX_NAME_TP_CD,PREFIX_DESC,NAME_USAGE_TP_CD,GIVEN_NAME_ONE,GIVEN_NAME_TWO,GIVEN_NAME_THREE,GIVEN_NAME_FOUR,LAST_NAME,GENERATION_TP_CD,SUFFIX_DESC,START_DT,END_DT,CONT_ID,USE_STANDARD_IND,LAST_UPDATE_DT,LAST_UPDATE_USER,LAST_UPDATE_TX_ID,LAST_USED_DT,LAST_VERIFIED_DT,SOURCE_IDENT_TP_CD,P_LAST_NAME,P_GIVEN_NAME_ONE,P_GIVEN_NAME_TWO,P_GIVEN_NAME_THREE,P_GIVEN_NAME_FOUR,X_CREATEDBY_USER,X_CREATED_DT,X_SRC_SYS_LAST_UPD_USER,X_SRC_SYS_LAST_UPD_DT,X_FKA_NAME,X_LAST_VERIFIED_USER,X_LAST_VERIFIED_TRANSIT,X_SRC_SYS_LAST_UPD_TRANSIT
2565820090852,9916916,2021-07-01 03:44:41,,,890826792,108003,MS,1,Margaret,,,,Hill,,,2021-07-01 03:44:41,,9340884899,Y,2023-06-07 03:16:50,batchsys,749373931976066889,2023-11-23 04:55:35,2023-05-09 03:20:15,3794,HILL,MARGARET,,,,batchsys,2021-07-01 03:44:41,batchsys,2023-06-07 03:16:50,,,8404,7984
7215495615731,1941703,2025-11-10 00:36:23,,,401340671,,,2,Thomas,,,,Hill,,,2025-11-10 00:36:23,,9340884899,Y,2026-03-17 18:11:00,batchsys,776776221985377149,2026-05-21 23:09:08,2026-03-01 02:16:41,3794,HILL,THOMAS,,,,cusadmin,2021-07-01 03:44:41,cusadmin,2026-03-17 18:11:00,,MECH,8404,6854
2993568270784,3699877,2020-06-06 16:27:03,2022-04-11 11:39:25,,670490927,,,1,Courtney,,,,Stafford,,,2020-06-06 16:27:03,2022-04-11 11:39:25,7147440579,Y,2020-08-11 11:36:25,cusadmin,565121869982508844,2025-07-10 03:09:52,,3795,STAFFORD,COURTNEY,,,,migr8,2020-06-06 16:27:03,cusadmin,2020-08-11 11:36:25,,cusadmin,9706,5421
6219719500789,7949140,2022-04-11 11:39:25,,,214690884,,,1,Courtney,,,,Rhodes,,,2022-04-11 11:39:25,,7147440579,Y,2024-04-18 11:06:47,cusadmin,953116693082719916,2025-03-19 22:55:30,2022-11-22 00:31:30,3794,RHODES,COURTNEY,,,,cusadmin,2020-06-06 16:27:03,MECH,2024-04-18 11:06:47,Courtney Stafford,cusadmin,9706,7148
7821692486680,6068872,2009-12-28 23:22:10,,,631558564,108001,MR,1,Steven,Christopher,,,Henderson,,,2009-12-28 23:22:10,,4487305411,Y,2011-03-15 10:57:58,migr8,391585090107982824,2018-01-28 15:52:49,2019-02-06 14:32:15,3795,HENDERSON,STEVEN,CHRISTOPHER,,,svc_mdm,2009-12-28 23:22:10,batchsys,2011-03-15 10:57:58,,,7141,3040
7222105433229,7539303,2016-09-28 07:07:25,,,884784849,,,1,Allen,,,,Wagner,,,2016-09-28 07:07:25,,6087124958,Y,2025-01-04 04:18:30,cusadmin,318615190831381894,2018-03-14 06:23:38,2022-10-03 06:22:35,3794,WAGNER,ALLEN,,,,cusadmin,2016-09-28 07:07:25,cusadmin,2025-01-04 04:18:30,,batchsys,6711,9482
2871746086610,5859943,2006-07-07 23:37:57,,,905485084,108001,MR,1,Alexander,,,,Santos,,,2006-07-07 23:37:57,,6013289371,Y,2023-11-20 06:32:55,cusadmin,977559158665467183,2009-10-19 08:34:49,2019-02-23 05:29:40,3795,SANTOS,ALEXANDER,,,,cusadmin,2006-07-07 23:37:57,cusadmin,2023-11-20 06:32:55,,,6978,1744
8465757000263,7237292,2024-09-06 01:12:00,,,852149285,,,1,Robert,Adam,,,Shaffer,,,2024-09-06 01:12:00,,5044253519,Y,2025-01-13 15:55:05,cusadmin,976174185615585112,2026-06-19 05:46:57,,3795,SHAFFER,ROBERT,ADAM,,,svc_mdm,2024-09-06 01:12:00,batchsys,2025-01-13 15:55:05,,,1867,3664
4886622882239,2909876,2001-03-14 05:55:21,,,904846164,108001,MR,1,Michael,Matthew,Virginia,,Moore,,,2001-03-14 05:55:21,,6848619413,Y,2014-07-18 19:17:53,cusadmin,826143330269774365,2024-12-23 17:26:24,,3795,MOORE,MICHAEL,MATTHEW,VIRGINIA,,batchsys,2001-03-14 05:55:21,batchsys,2014-07-18 19:17:53,,,4741,2143
6940447796714,5368793,2013-04-14 15:40:43,,,567286719,,,1,Tyler,,,,Davis,,,2013-04-14 15:40:43,,9627032919,Y,2021-02-26 15:06:58,cusadmin,818441863340983131,2022-03-08 09:14:34,,3795,DAVIS,TYLER,,,,batchsys,2013-04-14 15:40:43,cusadmin,2021-02-26 15:06:58,,,8043,9303
8727087815276,2804885,2001-08-28 18:45:13,,,701626173,108003,MS,1,Valerie,,,,Arnold,,,2001-08-28 18:45:13,,9017132417,Y,2017-09-18 15:13:14,migr8,512166820272731724,2011-04-19 15:55:13,2020-07-04 00:55:42,3794,ARNOLD,VALERIE,,,,cusadmin,2001-08-28 18:45:13,MECH,2017-09-18 15:13:14,,svc_mdm,5669,4542
9616246771887,2075710,2017-12-19 12:10:55,,,599918143,108002,MRS,1,Sandra,,,,Hensley,,,2017-12-19 12:10:55,,6394445123,Y,2019-11-22 10:16:51,cusadmin,536590378850849799,2024-03-21 05:37:00,,3794,HENSLEY,SANDRA,,,,cusadmin,2017-12-19 12:10:55,batchsys,2019-11-22 10:16:51,,,2767,4258
