IDP_WAREHOUSE_ID,IDP_AUDIT_ID,IDP_EFFECTIVE_DATE,IDP_END_DATE,IDP_DELETE_DATE,CONT_ID,ACCE_COMP_TP_CD,PREF_LANG_TP_CD,CREATED_DT,INACTIVATED_DT,CONTACT_NAME,PERSON_ORG_CODE,SOLICIT_IND,CONFIDENTIAL_IND,CLIENT_IMP_TP_CD,CLIENT_ST_TP_CD,CLIENT_POTEN_TP_CD,RPTING_FREQ_TP_CD,LAST_STATEMENT_DT,PROVIDED_BY_CONT,ALERT_IND,LAST_UPDATE_DT,LAST_UPDATE_USER,LAST_UPDATE_TX_ID,DO_NOT_DELETE_IND,LAST_USED_DT,LAST_VERIFIED_DT,SOURCE_IDENT_TP_CD,SINCE_DT,LEFT_DT,ACCESS_TOKEN_VALUE,PENDING_CDC_IND,X_OFFICIAL_LANGUAGE_TP_CD,X_LARGE_CASH_TXN_RPT_IND,X_CTRY_RES_TP_CD,X_PROV_RES_TP_CD,X_CREATED_DT,X_SRC_SYS_LAST_UPD_USER,X_CREATEDBY_USER,X_SRC_SYS_LAST_UPD_DT,X_PRIM_REL,X_BSN_GRP_TP_CD,X_OFAC_SCREEN_IND,X_OFAC_SCREEN_DT,X_BEN_OWNERSHIP_IND,X_LCTR_EXEMPT_UPDATE_DT,X_LAST_VERIFIED_TRANSIT,X_CRSP_LANG_TP_CD,X_ICPM_AC_IND
8156531835088,7598679,2021-07-01 03:44:41,2025-08-18 06:27:52,,9340884899,100302,703794,2021-07-01 03:44:41,,MARGARET HILL,P,Y,,100602,100001,100201,,2024-04-19 00:17:22,,N,2022-05-16 20:06:27,batchsys,807515417075140527,Y,2023-09-29 18:03:39,2023-04-21 10:11:56,3796,2021-07-01 03:44:41,,,N,100001,N,1002,2002,2021-07-01 03:44:41,svc_mdm,migr8,2022-05-16 20:06:27,Y,,Y,2025-03-14 20:08:44,,,8404,703794,N
6854061333113,5236948,2025-08-18 06:27:52,,,9340884899,100302,703794,2021-07-01 03:44:41,,MARGARET HILL,P,Y,,,100001,100202,100401,2026-05-27 07:27:23,,N,2025-12-12 00:22:59,batchsys,275905501126779401,Y,2026-02-11 20:06:14,2025-10-28 02:31:00,3795,2021-07-01 03:44:41,,,N,100001,N,1002,2002,2021-07-01 03:44:41,cusadmin,MECH,2025-12-12 00:22:59,N,303,Y,2026-06-10 08:25:30,,,8404,,N
2958393587122,9971001,2020-06-06 16:27:03,,,7147440579,100302,703793,2020-06-06 16:27:03,,COURTNEY RHODES,P,N,,,100001,100202,100401,2024-03-13 02:58:58,,N,2021-01-09 23:43:29,cusadmin,662097007491433272,,2023-03-04 02:42:22,,3794,2020-06-06 16:27:03,,776,N,100000,N,1002,2001,2020-06-06 16:27:03,batchsys,batchsys,2021-01-09 23:43:29,Y,,Y,2020-09-01 00:29:31,,,9706,703793,N
9629352003612,5294544,2009-12-28 23:22:10,2022-01-08 22:19:21,,4487305411,100303,703793,2009-12-28 23:22:10,,STEVEN HENDERSON,P,Y,,,100001,100202,,2012-07-11 23:08:12,,N,2014-09-07 15:08:57,batchsys,820829719364720676,,2012-08-21 18:43:55,,3794,2009-12-28 23:22:10,,208,Y,100000,N,1010,2005,2009-12-28 23:22:10,batchsys,cusadmin,2014-09-07 15:08:57,Y,,Y,2021-03-11 08:37:23,Y,,7141,,Y
8783786953432,5564515,2022-01-08 22:19:21,,,4487305411,100302,703793,2009-12-28 23:22:10,,STEVEN HENDERSON,P,N,,,100001,100203,100401,2026-03-18 03:50:12,,N,2024-10-18 07:39:58,migr8,265588307624853205,,2023-11-01 17:55:23,2025-04-04 22:54:45,3795,2009-12-28 23:22:10,,290,N,100000,N,1002,2005,2009-12-28 23:22:10,cusadmin,cusadmin,2024-10-18 07:39:58,N,301,Y,2025-10-04 07:49:23,,,7141,,N
5887660580006,5209463,2016-09-28 07:07:25,,,6087124958,100301,703793,2016-09-28 07:07:25,,ALLEN WAGNER,P,Y,,,100001,100202,100401,2017-06-26 23:44:04,,N,2025-03-11 09:01:20,cusadmin,762823649371810106,,2019-06-06 02:34:19,2017-09-23 01:07:02,3794,2016-09-28 07:07:25,,,N,100000,Y,1002,2003,2016-09-28 07:07:25,cusadmin,cusadmin,2025-03-11 09:01:20,Y,,Y,2026-02-05 05:07:18,Y,,6711,703793,N
7621567677112,1812736,2006-07-07 23:37:57,,,6013289371,100301,703793,2006-07-07 23:37:57,,ALEXANDER SANTOS,P,N,Y,,100001,100202,,2016-01-20 11:09:01,,N,2012-02-10 21:42:36,cusadmin,621034933031583816,,2020-02-27 11:05:13,,3795,2006-07-07 23:37:57,,360,N,100000,N,1002,2001,2006-07-07 23:37:57,svc_mdm,cusadmin,2012-02-10 21:42:36,Y,,Y,2023-02-09 18:08:47,,,6978,703793,N
8685302253196,8575766,2018-08-29 07:55:04,2020-05-22 21:52:23,,5015406480,100301,703793,2018-08-29 07:55:04,,JOSHUA LAWRENCE,P,Y,,,100001,100202,100402,2020-12-13 18:40:17,,N,2023-06-25 09:54:51,cusadmin,522801100902678468,,2024-01-16 08:14:33,,3794,2018-08-29 07:55:04,,963,N,100000,N,1010,2001,2018-08-29 07:55:04,MECH,MECH,2023-06-25 09:54:51,Y,302,Y,2022-11-29 17:52:52,,2021-04-01 03:44:15,3713,,N
7496324194996,1388429,2020-05-22 21:52:23,,,5015406480,100302,703793,2018-08-29 07:55:04,,JOSHUA LAWRENCE,P,N,,,100001,100203,100402,2022-09-20 09:51:47,,N,2020-06-25 01:55:40,batchsys,454247637190488687,,2026-03-18 19:45:55,2024-02-24 03:13:57,3796,2018-08-29 07:55:04,,,N,100000,N,1002,2001,2018-08-29 07:55:04,batchsys,batchsys,2020-06-25 01:55:40,N,,Y,2025-02-18 13:48:44,,,3713,703793,N
8371366682636,3388893,2024-09-06 01:12:00,,,5044253519,100302,703793,2024-09-06 01:12:00,,ROBERT SHAFFER,P,Y,Y,,100001,100201,,2025-11-13 22:42:41,,N,2025-11-26 01:43:04,batchsys,798507957248609059,,2025-08-24 12:45:29,,3794,2024-09-06 01:12:00,,300,Y,100000,N,1002,2004,2024-09-06 01:12:00,cusadmin,cusadmin,2025-11-26 01:43:04,N,,Y,2025-03-22 11:04:47,,,1867,,N
9965855634349,8617640,2001-03-14 05:55:21,2010-01-24 13:33:47,,6848619413,100302,703793,2001-03-14 05:55:21,,MICHAEL MOORE,P,Y,,,100001,100201,100402,2016-06-02 15:34:48,,N,2005-02-25 13:05:55,batchsys,961218147998459711,,2005-04-27 15:44:22,2007-12-30 03:32:01,3795,2001-03-14 05:55:21,,393,N,100000,N,1002,2003,2001-03-14 05:55:21,batchsys,cusadmin,2005-02-25 13:05:55,Y,,Y,2025-02-16 20:35:55,,,4741,,N
6299713635047,8697010,2010-01-24 13:33:47,,,6848619413,100301,703793,2001-03-14 05:55:21,,MICHAEL MOORE,P,Y,,,100001,100202,100402,2019-02-27 17:26:00,,N,2022-10-21 19:07:10,cusadmin,567392744666993129,,2021-08-07 02:27:27,2021-07-18 14:34:00,3795,2001-03-14 05:55:21,,,N,100000,N,1002,2003,2001-03-14 05:55:21,cusadmin,cusadmin,2022-10-21 19:07:10,N,303,N,,,,4741,,N
5576478530782,4941345,2013-04-14 15:40:43,,,9627032919,100303,703793,2013-04-14 15:40:43,,TYLER DAVIS,P,N,Y,,100001,100202,100402,2022-06-15 22:00:52,,N,2016-08-07 02:34:32,svc_mdm,347915663078492157,,2021-07-17 03:56:30,2014-08-14 05:24:25,3794,2013-04-14 15:40:43,,,N,100000,Y,1002,2003,2013-04-14 15:40:43,batchsys,batchsys,2016-08-07 02:34:32,Y,,Y,2020-08-21 18:27:32,,,8043,,Y
5593837017743,7280360,2009-12-05 04:04:58,,,9065446946,100302,703793,2009-12-05 04:04:58,,ANNE MUNOZ,P,Y,,,100001,100201,100401,2024-09-07 00:45:45,,N,2013-07-11 05:09:07,batchsys,234076452603709116,,2022-03-16 22:17:40,2010-07-23 01:00:48,3794,2009-12-05 04:04:58,,,N,100000,N,1002,2001,2009-12-05 04:04:58,batchsys,cusadmin,2013-07-11 05:09:07,N,,Y,2015-08-27 03:39:01,N,,5985,703793,N
8692880645297,8381245,2018-08-11 08:22:03,2022-07-08 21:18:14,,8468107688,100301,703794,2018-08-11 08:22:03,,ROBERT HERRERA,P,N,,,100001,100202,,2026-03-28 12:01:41,,N,2023-05-18 01:03:42,cusadmin,656390013098600535,,2023-09-02 18:40:01,,3795,2018-08-11 08:22:03,,,N,100001,N,1002,2002,2018-08-11 08:22:03,cusadmin,batchsys,2023-05-18 01:03:42,Y,301,Y,2018-10-31 21:39:22,Y,,3853,,N
3716749238645,8878727,2022-07-08 21:18:14,2024-09-24 09:45:53,,8468107688,100303,703794,2018-08-11 08:22:03,,ROBERT HERRERA,P,N,,,100001,100202,,2025-07-10 03:44:05,,N,2025-09-15 03:46:44,cusadmin,352708735743735183,Y,2024-12-24 11:32:19,,3796,2018-08-11 08:22:03,,808,N,100001,N,1002,2002,2018-08-11 08:22:03,batchsys,svc_mdm,2025-09-15 03:46:44,N,302,N,,,,3853,,N
8744542301072,4936041,2024-09-24 09:45:53,,,8468107688,100302,703794,2018-08-11 08:22:03,,ROBERT HERRERA,P,N,,,100001,100201,,2026-05-13 05:46:51,,N,2024-11-27 18:02:48,MECH,535039458711762357,,2025-09-06 10:49:59,2025-01-12 04:08:08,3795,2018-08-11 08:22:03,,,N,100001,N,1002,2002,2018-08-11 08:22:03,batchsys,batchsys,2024-11-27 18:02:48,N,,Y,2025-05-11 05:01:18,N,,3853,,N
3446855858201,3323731,2001-08-28 18:45:13,2013-12-19 00:33:25,,9017132417,100303,703793,2001-08-28 18:45:13,,VALERIE ARNOLD,P,N,,,100001,100202,100402,2022-11-21 15:24:58,,N,2008-03-31 18:54:14,cusadmin,157150708524991590,,2025-06-19 23:10:46,2001-09-23 11:09:45,3794,2001-08-28 18:45:13,,360,N,100000,N,1044,2006,2001-08-28 18:45:13,batchsys,batchsys,2008-03-31 18:54:14,Y,,Y,2021-02-23 16:13:01,,,5669,,N
4513598616031,8340090,2013-12-19 00:33:25,2014-12-30 02:12:03,,9017132417,100301,703793,2001-08-28 18:45:13,,VALERIE ARNOLD,P,Y,,100602,100001,100203,,2019-05-04 15:56:18,,N,2022-11-23 16:19:43,migr8,947193163179896061,,2024-01-30 04:14:56,2024-04-21 23:10:42,3794,2001-08-28 18:45:13,,745,N,100000,N,1002,2006,2001-08-28 18:45:13,svc_mdm,cusadmin,2022-11-23 16:19:43,N,,Y,2021-07-25 02:07:08,N,,5669,,N
7466619040215,8291590,2014-12-30 02:12:03,,,9017132417,100302,703793,2001-08-28 18:45:13,,VALERIE ARNOLD,P,N,,,100001,100202,,2016-07-01 03:56:15,,N,2019-03-23 04:01:56,batchsys,490714353475072930,,2022-12-28 02:27:38,2021-02-14 02:36:14,3794,2001-08-28 18:45:13,,124,N,100000,N,1002,2006,2001-08-28 18:45:13,cusadmin,svc_mdm,2019-03-23 04:01:56,N,,Y,2016-01-11 18:22:17,,,5669,,N
4555681513174,1978448,2017-12-19 12:10:55,2021-05-31 10:01:54,,6394445123,100301,703793,2017-12-19 12:10:55,,SANDRA HENSLEY,P,Y,,,100001,100202,,2025-08-19 10:45:57,,N,2023-07-17 02:42:39,cusadmin,531141164915160890,,2024-08-20 20:41:51,2018-03-29 03:00:19,3794,2017-12-19 12:10:55,,,N,100000,N,1010,2001,2017-12-19 12:10:55,cusadmin,svc_mdm,2023-07-17 02:42:39,Y,,Y,2018-05-31 10:32:29,,,2767,703793,N
9537930484459,7152694,2021-05-31 10:01:54,2025-05-30 16:48:42,,6394445123,100301,703793,2017-12-19 12:10:55,,SANDRA HENSLEY,P,N,,,100001,100202,,2024-08-19 08:55:56,,N,2023-11-28 05:36:43,cusadmin,386737292248400248,,2026-04-01 16:22:43,,3794,2017-12-19 12:10:55,,484,N,100000,Y,1002,2001,2017-12-19 12:10:55,cusadmin,batchsys,2023-11-28 05:36:43,N,,Y,2021-10-23 01:06:36,,,2767,,N
6193457918835,8941112,2025-05-30 16:48:42,2026-03-03 13:10:42,,6394445123,100301,703793,2017-12-19 12:10:55,,SANDRA HENSLEY,P,N,,,100001,100202,100402,2025-08-21 08:50:48,,Y,2026-06-12 10:24:26,cusadmin,101926688493074873,,2025-09-05 05:39:00,2026-03-28 20:24:22,3794,2017-12-19 12:10:55,,730,N,100000,N,1002,2001,2017-12-19 12:10:55,MECH,MECH,2026-06-12 10:24:26,N,301,Y,2026-01-06 15:44:25,,,2767,,N
7259305118327,1768052,2026-03-03 13:10:42,,,6394445123,100301,703793,2017-12-19 12:10:55,,SANDRA HENSLEY,P,Y,,,100001,100202,100401,2026-06-27 14:37:35,,Y,2026-03-31 09:58:49,cusadmin,654409802790064590,,2026-05-26 10:46:16,2026-03-13 14:42:18,3794,2017-12-19 12:10:55,,,N,100000,N,1002,2001,2017-12-19 12:10:55,cusadmin,svc_mdm,2026-03-31 09:58:49,N,,Y,2026-05-20 19:36:20,,,2767,,N
5762325131537,8348697,1996-10-26 14:42:56,,,7248361920,100301,703793,1996-10-26 14:42:56,,LAURA WILLIAMS,P,Y,,,100001,100201,100401,1996-11-28 23:15:55,,N,1999-11-03 10:22:55,svc_mdm,809610957707315393,,2026-05-14 15:22:58,,3796,1996-10-26 14:42:56,,,N,100000,N,1002,2001,1996-10-26 14:42:56,svc_mdm,batchsys,1999-11-03 10:22:55,Y,,Y,2012-03-19 10:41:12,,,2797,703793,N
